id,title,description,journey_id,position,content_type,is_journey_module,image_url,chapter_id,status,era,level,xp_reward,duration,image_urls,story_content,transition_question,prompt,character,year
329,Moses and the Bronze Snake,Moses and the Bronze Snake — God heals through a bronze snake.,3,33,Story,TRUE,,1,published,jewish,33,50,2,,"When poisonous snakes struck the camp, the people cried out. God told Moses to craft a bronze serpent and lift it on a pole. Whoever looked at it lived. It was a symbol of healing through faith—and a foreshadowing of greater salvation to come.",,,,c. 1445–1406 BCE
330,Balaam and the Talking Donkey,Balaam and the Talking Donkey — A prophet is warned by a donkey.,3,34,Story,TRUE,,1,published,jewish,34,50,2,,"Balaam, hired to curse Israel, was stopped by a talking donkey—God’s messenger in disguise. Though he intended harm, God used Balaam to bless His people. Even enemies could be made to speak truth when God intervened.",,,,c. 1445–1406 BCE
331,Moses Strikes the Rock,Moses Strikes the Rock — Moses' disobedience costs him entry.,3,35,Story,TRUE,,1,published,jewish,35,50,2,,"Frustrated by the people’s complaints, Moses struck a rock to bring water—disobeying God's command to speak to it. Though water flowed, Moses' outburst cost him dearly: he would not enter the Promised Land.",,,,c. 1406 BCE
332,The Death of Miriam and Aaron,The Death of Miriam and Aaron — Loss of key leaders in the wilderness.,3,36,Story,TRUE,,1,published,jewish,36,50,2,,"Two pillars of the wilderness journey, Miriam and Aaron, died before reaching the Promised Land. Their deaths marked the end of an era—reminding Israel of the weight of leadership and the price of failure.",,,,c. 1406 BCE
333,Moses' Final Words,Moses' Final Words — Moses prepares Israel before his death.,3,37,Story,TRUE,,1,published,jewish,37,50,2,,"Before his death, Moses addressed the nation with passion and wisdom. He recounted their journey, repeated the law, and urged faithfulness. Deuteronomy became his final gift—a call to choose life and loyalty to God.",,,,c. 1406 BCE
334,Joshua: New Leadership,Joshua: New Leadership — Joshua takes over from Moses.,3,38,Story,TRUE,,1,published,jewish,38,50,2,,"With Moses gone, Joshua rose as Israel’s new leader. Commissioned by God and the people, he was strong and courageous. Joshua’s faith would guide the people into battles and blessings ahead.",,,,c. 1406 BCE
335,Crossing the Jordan,Crossing the Jordan — Israel crosses into the promised land.,3,39,Story,TRUE,,1,published,jewish,39,50,2,,"As the priests stepped into the river, the Jordan parted. Israel crossed on dry ground, just as at the Red Sea. Stones were set up as a memorial of God's power and presence, securing the people’s trust.",,,,c. 1406 BCE
336,Jericho Falls,Jericho Falls — Walls of Jericho fall by faith.,3,40,Story,TRUE,,1,published,jewish,40,50,2,,"Jericho’s walls seemed impenetrable. But God's plan was not siege, but faith. For seven days the people marched, and on the final day, the walls crumbled with a shout. Jericho fell—not by might, but by obedience.",,,,c. 1406 BCE
337,The Sun Stands Still,The Sun Stands Still — God intervenes in battle.,3,41,Story,TRUE,,1,published,jewish,41,50,2,,"In a dramatic battle, Joshua asked God to make the sun stand still—and it did. Victory required more than swords; it required divine timing. That day, the heavens paused for the sake of covenant people.",,,,c. 1406 BCE
338,Division of the Land,Division of the Land — The land is divided among tribes.,3,42,Story,TRUE,,1,published,jewish,42,50,2,,"With Canaan subdued, the land was divided among the twelve tribes. Borders were drawn, cities designated, and inheritance confirmed. God's promise to Abraham was being fulfilled, one allotment at a time.",,,,c. 1400 BCE
339,Deborah and Barak,Deborah and Barak — A female judge leads Israel to victory.,3,43,Story,TRUE,,1,published,jewish,43,50,2,,"Israel fell into oppression again. Deborah, a prophetess and judge, summoned Barak to battle. With God’s help, they defeated their enemy, Sisera. It was a story of courage, prophecy, and a woman’s unlikely leadership.",,,,c. 1200 BCE
340,Gideon’s Victory,Gideon’s Victory — Gideon defeats Midian with few men.,3,44,Story,TRUE,,,published,jewish,44,50,2,,"Gideon, hiding from enemies, was called by God to lead. With just 300 men, he routed a massive Midianite army using torches and trumpets. The victory was unmistakably divine—so no one could boast in their strength.",,,,c. 1150 BCE
341,Jephthah and His Vow,Jephthah and His Vow — A judge’s rash vow ends in sorrow.,3,45,Story,TRUE,,,published,jewish,45,50,2,,"Jephthah, a rejected outcast, was called to deliver Israel. Before battle, he vowed to sacrifice the first thing that greeted him—tragically, it was his daughter. His victory was stained with sorrow and impulsiveness.",,,,c. 1100 BCE
342,Samson: Strength and Failure,Samson: Strength and Failure — Samson’s strength and tragic choices.,3,46,Story,TRUE,,,published,jewish,46,50,2,,"Born with a divine calling, Samson possessed great strength. But he was reckless, ruled by desire. Betrayed by Delilah and captured, he found redemption in his final act—toppling a temple and defeating his enemies in death.",,,,c. 1080 BCE
343,Micah’s Idol,Micah’s Idol — Idolatry in Israel increases.,3,47,Story,TRUE,,,published,jewish,47,50,2,,"A man named Micah built a shrine and hired his own priest, violating God’s commandments. This act of private religion reflected Israel’s growing spiritual confusion in the time of the Judges.",,,,c. 1050 BCE
344,The Tragedy of Benjamin,The Tragedy of Benjamin — Civil war nearly wipes out a tribe.,3,48,Story,TRUE,,,published,jewish,48,50,2,,A horrific crime led to civil war. Eleven tribes turned against Benjamin. The violence nearly wiped out an entire tribe. It was a dark chapter that showed how far Israel had drifted from God’s ways.,,,,c. 1050 BCE
345,The Story of Ruth,The Story of Ruth — A Moabite woman joins God’s people.,3,49,Story,TRUE,,,published,jewish,49,70,2,,"In a time of chaos, Ruth’s loyalty stood out. A Moabite widow, she chose Israel’s God and people. Her kindness and courage led her to Boaz—and together they became ancestors of King David and the Messiah.",,,,c. 1050 BCE
346,Hannah’s Prayer,Hannah’s Prayer — Hannah prays for a child and praises God.,3,50,Story,TRUE,,,published,jewish,50,50,2,,"Barren and mocked, Hannah poured out her soul before God. Her heartfelt prayer was answered with a son, Samuel, whom she dedicated to the Lord. Her faith became a model for generations.",,,,c. 1100 BCE
347,The Calling of Samuel,The Calling of Samuel — God calls the boy Samuel.,3,51,Story,TRUE,,,published,jewish,51,50,2,,"As a boy serving in the Tabernacle, Samuel heard his name called in the night. It was God. From that moment, he became a prophet and leader—ushering in a new era for Israel.",,,,c. 1100 BCE
348,The Ark Captured,The Ark Captured — The Ark is captured and returned.,3,52,Story,TRUE,,,published,jewish,52,50,2,,"Israel brought the Ark of the Covenant into battle, hoping it would guarantee victory. But without obedience, it was powerless. The Ark was captured, and the glory departed—a sobering moment of judgment.",,,,c. 1050 BCE
349,Saul Becomes King,Saul Becomes King — Saul is chosen as Israel's first king.,3,53,Story,TRUE,,,published,jewish,53,50,2,,"Israel demanded a king like the other nations. God gave them Saul, tall and impressive. Though chosen by God, Saul’s reign would be marked by fear, pride, and an inability to fully trust the Lord.",,,,c. 1050 BCE
350,Saul’s Disobedience,Saul’s Disobedience — Saul disobeys and is rejected.,3,54,Story,TRUE,,,published,jewish,54,50,2,,Saul began to act out of fear rather than faith. He offered sacrifices without waiting for Samuel and failed to fully carry out God's commands. His disobedience cost him the kingdom—God would raise another in his place.,,,,c. 1045 BCE
351,David Anointed King,David Anointed King — David is chosen while still a shepherd.,3,55,Story,TRUE,,,published,jewish,55,50,2,,"While Saul still reigned, God sent Samuel to Bethlehem. There, He chose the youngest son of Jesse—David, a humble shepherd. Anointed in secret, David would become a man after God's own heart.",,,,c. 1025 BCE
352,David and Goliath,David and Goliath — David defeats Goliath through faith.,3,56,Story,TRUE,,,published,jewish,56,50,2,,"A young boy with a sling faced a giant with a sword. David’s faith in God turned the tide of battle. With one stone, Goliath fell. The people of Israel found a new hero, and Saul grew jealous.",,,,c. 1020 BCE
353,Saul and David’s Conflict,Saul and David’s Conflict — Tension rises between Saul and David.,3,57,Story,TRUE,,,published,jewish,57,50,2,,"As David’s fame grew, Saul’s paranoia deepened. He pursued David across hills and caves, trying to kill him. Yet David never retaliated, showing restraint and trust in God’s timing.",,,,c. 1010 BCE
354,David Spares Saul,David Spares Saul — David spares Saul’s life.,3,58,Story,TRUE,,,published,jewish,58,50,2,,"Twice, David had the chance to kill Saul. Each time, he chose mercy over vengeance. He declared, 'I will not lift my hand against the Lord’s anointed.' His integrity set him apart.",,,,c. 1005 BCE
355,David Becomes King,David Becomes King — David is crowned king of all Israel.,3,59,Story,TRUE,,,published,jewish,59,50,2,,"After Saul’s death, David was crowned king—first of Judah, then of all Israel. He captured Jerusalem, brought the Ark to the city, and established a reign rooted in justice and worship.",,,,c. 1000 BCE
356,The Ark Brought to Jerusalem,The Ark Brought to Jerusalem — The Ark returns to Jerusalem.,3,60,Story,TRUE,,,published,jewish,60,50,2,,"David danced as the Ark entered Jerusalem, symbolizing God's presence returning to the heart of the nation. It was a day of celebration, reverence, and deep spiritual significance.",,,,c. 995 BCE
357,David and Bathsheba,David and Bathsheba — David sins but repents deeply.,3,61,Story,TRUE,,,published,jewish,61,50,2,,"At the height of power, David saw Bathsheba and took her—then arranged her husband's death. The prophet Nathan confronted him, and David repented in sorrow. Sin had consequences, but grace still lingered.",,,,c. 990 BCE
358,Absalom’s Rebellion,Absalom’s Rebellion — Absalom rebels against his father.,3,62,Story,TRUE,,,published,jewish,62,50,2,,"David’s son Absalom sought to steal the throne, charming the people and launching a coup. David fled Jerusalem, heartbroken. The rebellion ended with Absalom’s death—David mourned, torn between father and king.",,,,c. 980 BCE
359,David’s Census and Repentance,David’s Census and Repentance — David repents for numbering the people.,3,63,Story,TRUE,,,published,jewish,63,50,2,,"David ordered a census, trusting numbers over God. A plague followed, claiming lives. In repentance, David built an altar where the plague stopped—the future site of the Temple.",,,,c. 975 BCE
360,Solomon’s Wisdom,Solomon’s Wisdom — Solomon is known for his great wisdom.,3,64,Story,TRUE,,,published,jewish,64,50,2,,"Solomon asked for wisdom to govern, and God granted it abundantly. His wise judgment, like the case of two mothers claiming the same child, became legendary throughout the land.",,,,c. 970 BCE
361,Building the Temple,Building the Temple — Solomon builds the First Temple.,3,65,Story,TRUE,,,published,jewish,65,50,2,,"Solomon built a magnificent temple in Jerusalem. Gold, cedar, and stone were shaped into a dwelling place for God's name. When completed, God’s glory filled it—affirming His presence among His people.",,,,c. 960 BCE
362,Solomon’s Foreign Wives,Solomon’s Foreign Wives — Solomon's marriages lead to idolatry.,3,66,Story,TRUE,,,published,jewish,66,50,2,,"Though wise, Solomon's heart strayed. He married many foreign women who turned his heart toward idols. The king who built the Temple also built altars to false gods—sowing seeds of division.",,,,c. 950 BCE
363,Ecclesiastes: Solomon’s Reflection,Ecclesiastes: Solomon’s Reflection — Reflections on life’s meaning.,3,67,Story,TRUE,,,published,jewish,67,50,2,,"Late in life, Solomon reflected on life’s meaning. He called much of it 'vanity'—fleeting and empty without God. Yet in the end, he urged: 'Fear God and keep His commandments.'",,,,c. 940 BCE
364,The Queen of Sheba,The Queen of Sheba — A foreign queen praises Israel’s king.,3,68,Story,TRUE,,,published,jewish,68,50,2,,"Drawn by tales of Solomon’s wisdom, the Queen of Sheba came to test him with hard questions. She left astonished, declaring that his wisdom and wealth exceeded all she had heard.",,,,c. 940 BCE
365,Division of the Kingdom,Division of the Kingdom — Kingdom splits after Solomon’s reign.,3,69,Story,TRUE,,,published,jewish,69,50,2,,"After Solomon’s death, his son Rehoboam’s harsh leadership caused a split. Ten tribes formed the northern kingdom of Israel, leaving Judah and Benjamin in the south. Unity gave way to strife.",,,,c. 930 BCE
366,Elijah and the Drought,Elijah and the Drought — Elijah prays and the rain stops.,3,70,Story,TRUE,,,published,jewish,70,50,2,,"God sent Elijah to declare a drought as judgment on Israel’s idolatry. For years, the skies withheld rain. Elijah, fed by ravens, became a beacon of truth in a land drifting from God.",,,,c. 870 BCE
367,Mount Carmel Showdown,Mount Carmel Showdown — A fiery showdown against idol worship.,3,71,Story,TRUE,,,published,jewish,71,50,2,,"Elijah challenged the prophets of Baal to a contest: whose god would answer by fire? Baal was silent. But Elijah prayed, and fire fell from heaven. The people declared, 'The Lord—He is God!'",,,,c. 850 BCE
368,Elisha’s Miracles,Elisha’s Miracles — Elisha follows with powerful miracles.,3,72,Story,TRUE,,,published,jewish,72,50,2,,"Elisha succeeded Elijah and performed many miracles—healing the sick, multiplying oil, and raising the dead. His ministry proved that God’s power did not fade with one prophet but continued in faith.",,,,c. 850 BCE
369,Naboth’s Vineyard,Naboth’s Vineyard — Ahab takes land unjustly.,3,73,Story,TRUE,,,published,jewish,73,50,2,,"King Ahab coveted Naboth’s vineyard. When Naboth refused to sell, Queen Jezebel had him killed. God sent Elijah to confront the king, pronouncing judgment for such corruption and bloodshed.",,,,c. 850 BCE
370,The Widow’s Oil,The Widow’s Oil — God provides oil in a miracle.,3,74,Story,TRUE,,,published,jewish,74,50,2,,"A poor widow cried out to Elisha, fearing her sons would be taken as slaves. Elisha told her to gather jars and pour oil. Miraculously, the oil kept flowing until every jar was full—enough to pay her debts and live on.",,,,c. 850 BCE
371,Naaman the Syrian,Naaman the Syrian — A foreign general is healed of leprosy.,3,75,Story,TRUE,,,published,jewish,75,50,2,,"Naaman, a Syrian general with leprosy, came to Elisha seeking healing. Told to wash in the Jordan River seven times, he initially refused—but eventually obeyed. His skin was restored, and he acknowledged the God of Israel.",,,,c. 840 BCE
372,Jonah and the Fish,Jonah and the Fish — Jonah resists God’s mission of mercy.,3,76,Story,TRUE,,,published,jewish,76,50,2,,"God sent Jonah to warn Nineveh, but he fled by sea. A storm and a great fish brought him back. After three days inside, Jonah repented. He preached in Nineveh, and the city turned to God—much to Jonah’s dismay.",,,,c. 760 BCE
373,Amos: Justice Rolls Down,Amos: Justice Rolls Down — A call for justice and righteousness.,3,77,Story,TRUE,,,published,jewish,77,50,2,,"Amos, a shepherd turned prophet, called out the northern kingdom for social injustice and hollow worship. He declared that God desired justice and righteousness more than ritual and wealth.",,,,c. 750 BCE
374,Hosea: Love and Betrayal,Hosea: Love and Betrayal — God compares His love to a faithful husband.,3,78,Story,TRUE,,,published,jewish,78,50,2,,"God told Hosea to marry an unfaithful woman as a picture of Israel’s betrayal. Though she left, Hosea pursued her in love—mirroring God’s enduring mercy for His wayward people.",,,,c. 730 BCE
375,Isaiah’s Vision,Isaiah’s Vision — Isaiah sees God’s holiness.,3,79,Story,TRUE,,,published,jewish,79,50,2,,"In the temple, Isaiah saw the Lord exalted, with seraphim crying 'Holy, holy, holy.' Overwhelmed by his sin, he was cleansed and commissioned to speak to a people who would hear, but not understand.",,,,c. 740 BCE
376,Hezekiah and the Assyrians,Hezekiah and the Assyrians — God protects Judah from enemies.,3,80,Story,TRUE,,,published,jewish,80,50,2,,"The mighty Assyrian army threatened Jerusalem. King Hezekiah prayed, and the prophet Isaiah brought God’s promise of deliverance. That night, an angel struck down the enemy camp—Jerusalem was saved.",,,,c. 701 BCE
377,Josiah and the Book of the Law,Josiah and the Book of the Law — A king leads spiritual reform.,3,81,Story,TRUE,,,published,jewish,81,50,2,,"Young King Josiah ordered repairs to the Temple and discovered the forgotten Book of the Law. Shocked by how far Israel had strayed, he led a national reform and covenant renewal with God.",,,,c. 622 BCE
378,The Fall of Jerusalem,The Fall of Jerusalem — Babylon destroys Jerusalem.,3,82,Story,TRUE,,,published,jewish,82,50,2,,"Despite many warnings, Judah continued in rebellion. The Babylonians laid siege to Jerusalem, destroyed the Temple, and exiled the people. The city of God fell in flames, fulfilling dire prophecy.",,,,586 BCE
379,Jeremiah: The Weeping Prophet,Jeremiah: The Weeping Prophet — Jeremiah laments the destruction.,3,83,Story,TRUE,,,published,jewish,83,50,2,,"Jeremiah warned of judgment and pleaded with the people to repent. Rejected and imprisoned, he watched his prophecies unfold. Yet he also spoke of a new covenant and hope beyond exile.",,,,c. 600–580 BCE
380,Ezekiel and the Valley of Dry Bones,Ezekiel and the Valley of Dry Bones — A vision of resurrection and hope.,3,84,Story,TRUE,,,published,jewish,84,50,2,,"In a vision, Ezekiel saw a valley of dry bones. As he prophesied, they came to life. The message: though Israel seemed dead, God would restore and revive His people once more.",,,,c. 580 BCE
381,Daniel and the Lion’s Den,Daniel and the Lion’s Den — Daniel’s loyalty brings deliverance.,3,85,Story,TRUE,,,published,jewish,85,50,2,,"Daniel’s faithfulness provoked jealousy, and he was thrown into a den of lions. But God shut the lions' mouths. In the morning, Daniel was unharmed—showing that God protects those who trust Him.",,,,c. 539 BCE
382,The Writing on the Wall,The Writing on the Wall — God speaks through writing on a wall.,3,86,Story,TRUE,,,published,jewish,86,50,2,,"At a Babylonian feast, a mysterious hand wrote on the wall. Daniel interpreted the message: the kingdom would fall. That very night, Babylon was conquered, and a new empire rose.",,,,539 BCE
383,"Shadrach, Meshach, and Abednego","Shadrach, Meshach, and Abednego — God delivers three men from fire.",3,87,Story,TRUE,,,published,jewish,87,50,2,,"Ordered to worship a golden statue, three Hebrew men refused. Thrown into a fiery furnace, they walked unharmed amid the flames—joined by a divine figure. Their courage sparked royal recognition of Israel’s God.",,,,c. 590 BCE
384,Esther Saves Her People,Esther Saves Her People — Esther risks her life to save the Jews.,3,88,Story,TRUE,,,published,jewish,88,50,2,,"Chosen as queen, Esther discovered a plot to destroy the Jews. With courage, she risked her life to expose the plan. Her boldness turned the tide, and the people celebrated their deliverance.",,,,c. 480 BCE
385,Ezra and the Torah,Ezra and the Torah — Ezra teaches God’s law again.,3,89,Story,TRUE,,,published,jewish,89,50,2,,"Ezra, a scribe and priest, returned from exile to teach the Torah. He led spiritual reform, calling people back to God’s Word and renewing identity after years in foreign lands.",,,,c. 458 BCE
386,Nehemiah Rebuilds the Wall,Nehemiah Rebuilds the Wall — Nehemiah rebuilds Jerusalem’s walls.,3,90,Story,TRUE,,,published,jewish,90,50,2,,"Nehemiah heard of Jerusalem’s broken walls and returned to rebuild. Amid opposition and threats, he rallied the people and completed the wall in just 52 days—restoring security and hope.",,,,c. 445 BCE
